function,country,fraudulent
Marketing,US,0
Customer Service,NZ,0
Administrative,US,0
Sales,US,0
Health Care Provider,US,0
Administrative,US,0
Management,DE,0
Management,US,0
Information Technology,US,0
Customer Service,US,0
Information Technology,US,0
Human Resources,GB,0
Information Technology,US,0
Other,US,0
Sales,AU,0
Sales,SG,0
Engineering,IL,0
Other,GB,0
Design,US,0
Engineering,US,0
Marketing,US,0
Engineering,NZ,0
Sales,AE,0
Sales,US,0
Customer Service,GB,0
Information Technology,US,0
Marketing,SG,0
Health Care Provider,AE,0
Management,US,0
Administrative,CA,0
Customer Service,US,0
Engineering,US,0
Other,US,0
Engineering,US,0
Information Technology,GB,0
Education,US,0
Education,US,0
Engineering,US,0
Design,IN,0
Administrative,US,0
Education,US,0
Education,US,0
Engineering,US,0
Customer Service,US,0
Customer Service,US,0
Sales,US,0
Other,EG,0
Administrative,US,0
Education,US,0
Customer Service,US,0
Production,US,0
Administrative,US,0
Administrative,US,0
Information Technology,US,0
Sales,US,0
Management,PL,0
Sales,US,0
Health Care Provider,CA,0
Marketing,US,0
Design,US,0
Education,US,0
Supply Chain,US,0
Education,US,0
Customer Service,US,0
Information Technology,US,0
Engineering,NZ,0
Information Technology,GR,0
Production,US,0
Management,US,0
Information Technology,US,0
Marketing,GB,0
Customer Service,US,0
Customer Service,US,0
Other,AE,0
Administrative,US,0
Engineering,DE,0
Health Care Provider,US,0
Information Technology,US,0
Business Development,US,0
Product Management,NZ,0
Education,US,0
Customer Service,US,0
Sales,GB,0
Customer Service,US,0
Customer Service,US,0
Financial Analyst,US,0
Administrative,US,0
Customer Service,US,0
Sales,GR,0
Education,CA,0
Marketing,US,0
Consulting,GB,0
Human Resources,US,0
Administrative,US,0
Administrative,GB,0
Marketing,US,0
Information Technology,GB,0
Customer Service,US,0
Other,US,1
Education,US,0
Engineering,US,0
Education,CA,0
Marketing,GB,0
Customer Service,US,0
Administrative,US,0
Information Technology,US,0
Customer Service,GB,0
Information Technology,GB,0
Project Management,US,0
Management,US,0
Customer Service,US,0
Customer Service,US,0
Customer Service,US,0
Management,GB,0
Sales,US,0
Human Resources,GB,0
Administrative,US,0
Management,US,0
Information Technology,US,0
Education,US,0
Administrative,US,0
Engineering,DE,0
Education,CA,0
Education,US,0
Customer Service,US,0
Marketing,US,0
Other,GR,0
Sales,US,0
Other,US,0
Customer Service,US,0
Customer Service,US,0
Sales,GB,0
Design,GB,0
Education,US,0
Sales,GB,0
Education,US,0
Customer Service,US,0
Management,DE,0
Customer Service,US,0
Customer Service,US,0
Education,US,0
Customer Service,US,0
Information Technology,IL,0
Education,US,0
Financial Analyst,Undefined,1
Other,GR,0
Information Technology,US,0
Information Technology,GR,0
Sales,US,0
Information Technology,US,0
Education,US,0
Sales,US,0
Production,GB,0
Production,US,0
Customer Service,US,0
Other,US,0
Education,US,0
Customer Service,US,0
Other,US,0
Manufacturing,US,0
Management,US,0
Public Relations,AU,0
Customer Service,US,0
Marketing,EG,0
Marketing,GB,0
Sales,GR,0
Sales,US,0
Administrative,GR,0
Customer Service,US,0
Engineering,DE,0
Information Technology,GB,0
Other,AU,0
Other,US,1
Sales,US,0
Administrative,US,0
Education,US,0
Writing/Editing,US,0
Strategy/Planning,US,0
Human Resources,GB,0
Sales,PK,1
Education,US,0
Engineering,US,0
Health Care Provider,US,0
Information Technology,GB,0
Sales,GB,0
Administrative,US,0
Other,US,0
Education,US,0
Education,US,0
Sales,US,0
General Business,US,0
Information Technology,US,0
Administrative,GR,0
Management,GB,0
Information Technology,GR,0
Education,US,0
Information Technology,IN,0
Business Development,GB,0
Sales,US,0
Advertising,NZ,0
Information Technology,BE,0
Education,US,0
Information Technology,US,0
Information Technology,GB,0
Customer Service,US,0
Customer Service,GB,0
Customer Service,US,0
Education,US,0
Customer Service,US,0
Customer Service,US,0
Information Technology,BR,0
Customer Service,US,0
Administrative,CA,0
Human Resources,US,0
Other,US,1
Education,US,0
Management,GB,0
Production,AU,0
Sales,SA,0
Management,US,0
Administrative,GB,0
Management,DK,0
Education,US,0
Customer Service,US,0
Finance,GB,0
Education,US,0
Advertising,GB,0
Customer Service,US,0
Information Technology,US,0
Customer Service,US,0
Education,US,0
Administrative,GB,0
Information Technology,GB,0
Project Management,Undefined,0
Sales,GB,0
Information Technology,US,0
Education,US,0
Health Care Provider,RU,0
Production,US,0
Customer Service,US,0
Finance,GB,0
Sales,GB,0
Education,ZA,0
Management,US,0
Business Development,GB,0
Education,US,0
Public Relations,GB,0
Sales,GB,0
Engineering,GB,0
Information Technology,NZ,0
Information Technology,GB,0
Other,US,0
Education,US,0
Information Technology,US,0
Finance,GB,0
Marketing,US,0
Administrative,US,0
General Business,US,0
Product Management,US,0
Customer Service,GB,0
Customer Service,US,0
Sales,US,0
Customer Service,GB,0
Information Technology,US,0
Management,US,0
Management,US,0
Administrative,US,0
Information Technology,GR,0
Education,US,0
Research,US,0
Other,US,0
Sales,US,0
Education,US,0
Management,DE,0
Engineering,CY,0
Sales,US,0
Information Technology,NZ,0
Education,US,0
Sales,US,0
Education,US,0
Project Management,US,0
Health Care Provider,US,0
Sales,US,0
Education,US,0
Sales,US,0
Administrative,GB,0
Design,US,0
Sales,US,0
Engineering,US,0
Research,US,0
Accounting/Auditing,US,0
Education,US,0
Customer Service,US,0
Engineering,GB,0
Art/Creative,GB,0
Engineering,DE,0
Information Technology,US,0
Sales,US,0
Customer Service,US,0
Administrative,US,0
Information Technology,DE,0
Consulting,US,0
Engineering,US,0
Other,US,0
Education,US,0
Customer Service,US,0
Product Management,DE,0
Information Technology,HK,0
Education,US,0
Management,GB,0
Administrative,US,0
Sales,HK,0
Education,US,0
Human Resources,EG,0
Project Management,US,0
Sales,IN,0
Consulting,GB,0
Advertising,AU,0
Engineering,GR,0
Management,GB,0
Management,US,0
Quality Assurance,US,0
Management,US,0
Strategy/Planning,US,0
Management,Undefined,0
Education,US,0
Engineering,GR,0
Education,US,0
Marketing,US,0
Education,US,0
Consulting,US,0
Information Technology,US,0
Customer Service,TR,0
Information Technology,US,0
Marketing,US,0
Sales,BE,0
Administrative,US,0
Education,US,0
Consulting,US,0
Accounting/Auditing,GB,0
Information Technology,US,0
Customer Service,US,0
Quality Assurance,GR,0
Education,US,0
Education,RU,0
Sales,CA,0
Education,US,0
Marketing,DE,0
Consulting,Undefined,0
Supply Chain,US,0
Design,AU,0
Marketing,GR,0
Engineering,IE,0
Information Technology,US,0
Education,US,0
Customer Service,US,0
Finance,US,1
Customer Service,US,0
Accounting/Auditing,CA,0
Writing/Editing,US,0
Engineering,GB,0
Consulting,US,0
Marketing,SG,0
Other,GB,0
Education,US,0
Sales,US,0
Administrative,GB,0
Engineering,US,0
Project Management,US,0
Training,US,0
Marketing,US,0
Consulting,US,0
Finance,US,0
General Business,US,0
Customer Service,US,0
Information Technology,US,0
Design,US,0
Information Technology,US,0
Engineering,GB,0
Information Technology,US,0
Engineering,CA,0
Information Technology,US,0
Information Technology,US,0
Sales,US,0
Information Technology,US,0
Education,US,0
Quality Assurance,US,0
Information Technology,AU,0
Data Analyst,IN,0
Strategy/Planning,DE,0
Customer Service,CA,0
Health Care Provider,US,0
Administrative,US,0
Business Analyst,US,0
Information Technology,US,0
Engineering,LT,0
Engineering,US,0
Product Management,US,0
Engineering,JP,0
Management,DE,0
Marketing,US,0
Sales,GR,0
Education,US,0
Information Technology,US,0
Other,Undefined,0
Information Technology,US,0
Customer Service,US,0
Sales,GB,0
Information Technology,GR,0
Management,Undefined,0
Information Technology,CA,0
Administrative,GB,0
Customer Service,US,0
Education,US,0
Information Technology,GB,0
Finance,US,0
Customer Service,US,0
Management,US,0
